0; Time; S1posx; S1posy; S1posz; S2posx; S2posy; S2posz; S3posx; S3posy; S3posz; S4posx; S4posy; S4posz; S5posx; S5posy; S5posz; 
108; 1.07; 0.0511843; 1.857167; 0.05527828; 0.1361052; 1.354652; -0.1601506; -0.1085689; 1.226036; -0.1540993; 0.002952166; 0.0923034; -1.040245; -0.3756009; 0.01648214; -0.9260833; 
109; 1.08; 0.04961033; 1.856454; 0.05258747; 0.1364991; 1.339904; -0.1664244; -0.1054653; 1.214314; -0.1481313; 0.00293437; 0.09230197; -1.040244; -0.3755876; 0.01649073; -0.9260907; 
110; 1.09; 0.04961033; 1.856454; 0.05258747; 0.1364991; 1.339904; -0.1664244; -0.1054653; 1.214314; -0.1481313; 0.00293437; 0.09230197; -1.040244; -0.3755876; 0.01649073; -0.9260907; 
111; 1.1; 0.04694206; 1.855753; 0.04949826; 0.135842; 1.321862; -0.1731461; -0.1047877; 1.205928; -0.1423574; 0.002951099; 0.09231277; -1.040245; -0.3755947; 0.01647992; -0.9260852; 
112; 1.11; 0.04329012; 1.855138; 0.04604355; 0.1337269; 1.301386; -0.1791522; -0.1066106; 1.20054; -0.1386501; 0.002958629; 0.09236625; -1.040242; -0.3756033; 0.01649652; -0.926107; 
113; 1.12; 0.0331187; 1.853292; 0.03813757; 0.1292135; 1.255509; -0.1859767; -0.1126138; 1.197619; -0.1324012; 0.002926521; 0.09227895; -1.040249; -0.3756129; 0.01649752; -0.9261152; 
114; 1.13; 0.0331187; 1.853292; 0.03813757; 0.1292135; 1.255509; -0.1859767; -0.1126138; 1.197619; -0.1324012; 0.002926521; 0.09227895; -1.040249; -0.3756129; 0.01649752; -0.9261152; 
115; 1.14; 0.02713758; 1.852433; 0.03393446; 0.1272021; 1.232388; -0.1863993; -0.1139999; 1.197449; -0.1299677; 0.002933106; 0.09231258; -1.040285; -0.3755925; 0.01649397; -0.926079; 
116; 1.15; 0.02069899; 1.850914; 0.02912369; 0.1268885; 1.211725; -0.1845171; -0.1150748; 1.199619; -0.1276432; 0.002970759; 0.09242322; -1.040245; -0.3755912; 0.0165033; -0.9260805; 
117; 1.16; 0.01409498; 1.849341; 0.02447311; 0.1275014; 1.193241; -0.1807709; -0.1142546; 1.202933; -0.1253464; 0.00291878; 0.09229077; -1.040251; -0.3756041; 0.01649707; -0.9261149; 
118; 1.17; 0.007266755; 1.847511; 0.02016891; 0.1298648; 1.177746; -0.1766758; -0.1134741; 1.208627; -0.1254639; 0.002947253; 0.09229012; -1.040247; -0.375599; 0.0164954; -0.9260884; 
119; 1.18; -0.006452644; 1.843144; 0.01175532; 0.131621; 1.149035; -0.1663304; -0.1156921; 1.225463; -0.1288318; 0.002948516; 0.09235226; -1.040257; -0.3755999; 0.0164891; -0.9260787; 
120; 1.19; -0.01312885; 1.840937; 0.008529996; 0.1285977; 1.137014; -0.1587152; -0.119144; 1.235794; -0.1327699; 0.002936686; 0.09233414; -1.040226; -0.3756005; 0.01647856; -0.9260806; 
121; 1.2; -0.01909433; 1.838999; 0.006020725; 0.1220861; 1.12864; -0.1505563; -0.1235716; 1.247625; -0.1363073; 0.002941657; 0.0923431; -1.040235; -0.375585; 0.01649146; -0.9260835; 
122; 1.21; -0.01909433; 1.838999; 0.006020725; 0.1220861; 1.12864; -0.1505563; -0.1235716; 1.247625; -0.1363073; 0.002941657; 0.0923431; -1.040235; -0.375585; 0.01649146; -0.9260835; 
123; 1.22; -0.02461099; 1.836715; 0.003977633; 0.1144611; 1.125365; -0.1427779; -0.1284814; 1.260332; -0.138248; 0.00295331; 0.09239104; -1.040267; -0.3755988; 0.01649972; -0.9261076; 
